Number      rtot_com_com         rx_com_com         ry_com_com         rz_com_com          angle_pa1          angle_pa2          angle_pa3       s1_energy_tot       s0s1_energy_exc   s0s1_osc_strength    s1_energy_bind   lifetimes_fluo 
 148           4.014285           1.439062           1.968865           3.188597           5.061431          46.903821          46.680291        1230.652271           3.023625           0.069240           0.660584    3.640646E-08    
 149           3.946960           1.899055           1.311558           3.201858           1.381102          59.255839          59.252927        1230.648740           3.365432           0.169947           0.564489    1.197275E-08    
 150           3.307951           0.014810           0.035886           3.307723           0.036686           0.175186           0.171634        1230.665768           2.607638           0.000000           1.027857    9.466995E-03    
 151           5.352556           3.920504           2.154969           2.938642           0.069362           0.070847           0.063955        1230.643687           3.128370           0.000000           0.427016    5.279815E-03    
 152           4.015857           1.442686           1.965944           3.190740           5.133945          46.760740          46.527969        1230.652273           3.023816           0.068977           0.660628    3.654028E-08    
 153           3.135831           0.004864           0.000747           3.135827           0.018640          49.815517          49.815514        1230.671002           2.457690           0.030305           1.170293    1.258974E-07    
 154           4.017020           1.204309           2.182302           3.150182           4.921102          52.798937          52.533597        1230.648739           3.268557           0.063202           0.564467    3.413086E-08    
 155           4.021868           0.746587           2.284423           3.224816           0.037797           0.039366           0.013344        1230.649995           3.266575           0.000000           0.598644    2.138371E-02    
 156           4.016747           2.695659           0.307364           2.961960           5.104770          46.661753          46.428990        1230.652332           3.023712           0.068927           0.662248    3.656950E-08    
 157           4.142270           2.743640           0.015875           3.103320           0.029092           0.030140           0.010672        1230.652444           3.008383           0.000000           0.665298    5.092763E-02    
 159           4.162046           2.783211           0.010833           3.094551           0.106636           0.122992           0.073328        1230.652478           3.006185           0.000005           0.666208    5.242817E-04    
 160           3.135878           0.005906           0.001404           3.135872           0.021841          49.738942          49.738935        1230.671003           2.458326           0.030188           1.170314    1.263206E-07    
 161           4.016873           0.656893           2.306328           3.222517           0.053957           0.174772           0.167067        1230.649965           3.286893           0.000014           0.597826    1.493897E-04    
 162           4.014768           1.443258           1.961339           3.191946           5.168631          46.697996          46.460354        1230.652274           3.023942           0.068859           0.660672    3.659999E-08    
 163           4.193707           2.835547           0.003593           3.089797           0.041967           0.040167           0.012579        1230.652574           3.012477           0.000000           0.668831    6.193816E-02    
 164           3.305552           0.002683           0.005982           3.305545           0.008086           0.015344           0.014242        1230.665760           2.602018           0.000000           1.027636    2.836532E-01    
 165           3.926092           1.927428           1.244380           3.186023           2.071156          59.800099          59.805025        1230.648700           3.357212           0.154238           0.563401    1.325689E-08    
 166           4.016411           2.694985           0.305935           2.962265           5.099474          46.569810          46.336508        1230.652334           3.024059           0.068811           0.662290    3.662260E-08    
 167           4.013795           1.439344           1.963382           3.191233           5.136063          46.777925          46.545587        1230.652273           3.023831           0.068875           0.660641    3.659434E-08    
 168           4.017227           1.440652           1.971502           3.189955           5.118955          46.778920          46.547732        1230.652271           3.024080           0.069001           0.660579    3.652156E-08    
 169           4.015640           1.440271           1.968472           3.190001           5.110939          46.783254          46.553835        1230.652272           3.023992           0.068955           0.660619    3.654796E-08    
 170           3.924123           0.001166           2.252758           3.213070           1.896446          59.614858          59.619857        1230.648672           3.360331           0.153952           0.562657    1.325689E-08    
 171           5.356093           3.919465           2.159259           2.943320           0.056197           0.059358           0.055123        1230.643690           3.128295           0.000000           0.427087    5.388810E-03    
 172           3.135572           0.000482           0.000021           3.135572           0.004457          49.726636          49.726631        1230.671000           2.457673           0.030170           1.170237    1.264655E-07    
 173           4.017867           1.281248           2.125209           3.159927           5.030988          53.207218          52.932218        1230.648717           3.269156           0.065081           0.563866    3.313350E-08    
 174           4.014177           1.439681           1.963866           3.191264           5.139138          46.674824          46.441199        1230.652275           3.024349           0.068625           0.660684    3.671501E-08    
 175           4.018661           2.700804           0.300730           2.960551           5.142600          46.640195          46.402934        1230.652332           3.023212           0.069146           0.662232    3.646574E-08    
 176           4.196124           2.830188           0.010133           3.097965           0.040056           0.040147           0.006265        1230.652620           3.020223           0.000000           0.670070    5.052911E-01    
 177           3.920367           0.009913           2.246664           3.212738           2.224880          59.985895          59.985950        1230.648684           3.355644           0.152555           0.562972    1.341561E-08    
 178           4.023128           0.556324           2.349403           3.218131           0.022387           0.036652           0.040230        1230.649909           3.310201           0.000001           0.596322    1.974837E-03    
 179           4.024185           0.621106           2.331919           3.220317           0.030861           0.076425           0.075332        1230.649946           3.293657           0.000007           0.597322    3.061071E-04    
 180           9.183392           9.167389           0.483182           0.245363          89.987115          71.556915          83.144389        1230.631543           3.516317           0.722433           0.096537    2.579980E-09    
 181           4.013836           1.428499           1.974567           3.189257           5.090605          46.891997          46.661463        1230.652267           3.023920           0.069555           0.660484    3.623435E-08    
 182           4.015700           2.693707           0.307790           2.962271           5.103467          46.617964          46.384825        1230.652333           3.023716           0.068782           0.662260    3.664642E-08    
 183           4.021273           0.835092           2.255998           3.222380           0.056237           0.150750           0.139898        1230.649890           3.241488           0.000002           0.595785    9.848739E-04    
 184           3.136140           0.000688           0.000166           3.136140           0.015769          49.708996          49.709002        1230.671007           2.458924           0.030164           1.170424    1.263604E-07    
 185           4.015938           1.447404           1.963386           3.190281           5.109475          46.683632          46.453003        1230.652275           3.024274           0.068886           0.660701    3.657768E-08    
 186           4.187263           2.809070           0.032123           3.105039           0.233838           0.333874           0.249705        1230.652618           3.018711           0.000003           0.670023    8.637249E-04    
 187           3.947879           1.905164           1.310001           3.199999           1.378910          59.067352          59.065692        1230.648737           3.365246           0.168804           0.564434    1.205515E-08    
 188           5.349087           3.911673           2.159842           2.940516           0.039847           0.108323           0.100728        1230.643685           3.128510           0.000001           0.426951    4.690409E-03    
 189           4.020687           0.569688           2.340661           3.219113           0.038692           0.069734           0.062636        1230.649919           3.306264           0.000006           0.596571    3.393230E-04    
 190           4.018571           1.233642           2.167852           3.150787           4.836632          53.004946          52.749104        1230.648745           3.269761           0.063675           0.564639    3.385227E-08    
 191           4.021619           0.739089           2.284247           3.226357           0.326094           0.728023           0.656239        1230.649991           3.269433           0.000171           0.598535    1.261094E-05    
 192           4.011704           1.430778           1.966292           3.190665           5.115774          46.854504          46.625792        1230.652271           3.024123           0.068836           0.660581    3.660776E-08    
 193           5.330099           3.885990           2.149292           2.947810           0.082103           0.129287           0.152980        1230.643676           3.133188           0.000003           0.426710    6.959858E-04    
 194           3.950669           0.078552           2.294098           3.215390           1.409584          58.933554          58.933272        1230.648656           3.364789           0.169798           0.562217    1.198784E-08    
 195           3.918731           1.934577           1.230244           3.178108           2.338352          60.242738          60.257871        1230.648656           3.353016           0.148163           0.562217    1.383498E-08    
 196           4.024590           0.668785           2.312953           3.224949           0.102411           0.107345           0.132824        1230.649975           3.284549           0.000003           0.598095    7.856499E-04    
 197           3.921853           1.924682           1.238173           3.184880           2.244841          60.144233          60.150489        1230.648685           3.355683           0.152745           0.562998    1.339864E-08    
 198           4.014176           1.440324           1.963257           3.191346           5.146188          46.737960          46.504191        1230.652274           3.023874           0.068821           0.660671    3.662181E-08    
 199           4.018490           2.700858           0.298743           2.960469           5.152894          46.577906          46.337544        1230.652332           3.023346           0.069092           0.662235    3.649078E-08    
 200           4.020983           0.637050           2.320258           3.221626           0.070660           0.138574           0.119219        1230.649953           3.290988           0.000008           0.597505    2.528316E-04    
